FEA Run,Global Fitness
1,1410855.9938482782
2,1024353.6457392526
3,853922.5055217437
4,753224.1729439683
5,678007.5779877508
6,622996.6623237587
7,576771.4521404017
8,536693.92396115
9,501443.0114475852
10,472655.26466681814
11,447116.41759667057
12,423776.0984538874
13,402537.87326439616
14,382845.4870329488
15,366989.78637483553
16,351658.2592558301
17,336882.0830048014
18,324423.0675189054
19,312313.6973497275
20,301954.60374508926
21,291530.71024491714
22,282430.69771506975
23,274080.79959807225
24,266658.18738521816
25,259308.3817034992
26,252403.6248081309
27,246432.8045762686
28,240085.85531782234
29,234707.7459689892
30,229209.34097406786
31,224293.42326466914
32,219500.58086561773
33,214860.20860880733
34,210214.3812204241
35,206315.47033524342
36,202337.8729234886
37,199128.60688879248
38,195787.7998772391
39,192670.25790729417
40,189686.27834742982
41,186900.05363972217
42,183984.77248190017
43,181167.40613382097
44,178603.16490637092
45,175859.15462824513
46,173404.19414352256
47,171083.3587863478
48,168913.12096509026
49,166924.82030799423
50,164901.0861778066
