FEA Run,Global Fitness
1,1476238.690450917
2,1028244.5631661846
3,826227.3479191443
4,707070.1868610719
5,624433.1109855112
6,566810.701614823
7,521141.48023165297
8,485847.7145396222
9,457284.769192333
10,432370.72400040727
11,410936.4775877417
12,391890.8290078034
13,374890.57786858524
14,359611.4085274755
15,345556.1167931224
16,332737.01359990233
17,320693.1852786529
18,309678.8440007258
19,299395.1150164184
20,289892.9664920218
21,280969.422872603
22,272678.96696640854
23,264882.68802700273
24,257519.74029515125
25,250600.363659635
26,244082.69625934522
27,237831.45028379446
28,232083.809499621
29,226508.2331249527
30,221219.14547404717
31,216246.6771855861
32,211490.3274893178
33,207023.54797899962
34,202770.5098568215
35,198769.5616537135
36,194856.60635730473
37,191163.43394148158
38,187707.1811688721
39,184342.16134183836
40,181131.51921252895
41,178023.21270014215
42,175070.3591170671
43,172173.4137336474
44,169307.26843586122
45,166633.61771819205
46,164063.72056786265
47,161599.22459312496
48,159241.03976577707
49,156886.90628467538
50,154680.07376080353
