FEA Run,Global Fitness
1,1555018.8015160472
2,1099648.6663122522
3,899514.1776829178
4,784648.6548606697
5,707166.461105796
6,647749.4281654381
7,595250.3426093602
8,550813.3406225822
9,513101.84290338296
10,482909.3652635965
11,456741.45559334743
12,432560.0053277494
13,410523.5995038648
14,392428.7794461669
15,377072.9810832781
16,361347.8392352023
17,348292.6024033261
18,336660.22882766835
19,326028.8798897624
20,315857.85201390396
21,306447.1292002514
22,296830.61193062656
23,287860.19802082307
24,279415.93425380805
25,271989.7697423196
26,264638.6580596648
27,257605.64784233618
28,251577.92087347736
29,245674.5338142225
30,239982.62927562225
31,235107.44741670016
32,230254.64095142798
33,225356.73631029285
34,221208.55931389204
35,216480.33814747754
36,212462.05073578632
37,208370.00829957525
38,204469.5419156046
39,200563.5082563173
40,197137.88469931236
41,193252.66030106283
42,190056.8242247215
43,186740.56774280063
44,183632.8963837238
45,180892.57999129346
46,178095.94520935448
47,175213.54083636508
48,172630.7437862178
49,170036.76218326957
50,167584.3816966213
