FEA Run,Global Fitness
1,194167427.82765898
2,7062521.260862206
3,908407.7455634942
4,768280.6448699515
5,753287.3542492061
6,748217.257651839
7,747219.9581697716
8,746967.3896291605
9,746801.0719883543
10,746623.1159697892
11,746468.2495757119
12,746372.1724261472
13,746307.890284278
14,746269.6669993305
15,746240.1625346007
16,746213.9281814554
17,746185.2163384784
18,746180.0155170268
19,746177.9744582989
20,746174.1460219651
21,746172.375797251
22,746171.2597576549
23,746170.5015525738
24,746169.9146589243
25,746169.3786434536
26,746168.8766638413
27,746168.3211386914
28,746167.729706848
29,746167.0194801554
30,746166.1684212411
31,746164.8364402177
32,746162.5869802678
33,746157.3014196251
34,746147.9235393108
35,746135.1544378145
36,746121.2144001459
37,746109.1464364021
38,746102.713271496
39,746098.9144501055
40,746096.3834046614
41,746095.1658100876
42,746094.3952638698
43,746093.8809548062
44,746093.4905994406
45,746093.1685223562
46,746092.876969591
47,746092.5841770433
48,746092.2843655925
49,746091.9848061369
50,746091.6920133526
