FEA Run,Global Fitness
1,62055297.78533951
2,2505181.7550102132
3,182322.69273947796
4,79166.90767519252
5,71106.71467699426
6,69712.03730412801
7,69287.82130432618
8,69151.09395668717
9,69088.81896495055
10,69037.62158275151
11,69013.65340622775
12,68986.55545048534
13,68964.09099450805
14,68948.72772270802
15,68927.18848704695
16,68910.81245662081
17,68894.84229089324
18,68886.01076900361
19,68877.73489067901
20,68873.2645260929
21,68869.60304732044
22,68865.10850313999
23,68863.50170368979
24,68856.6069194595
25,68847.42171016887
26,68836.25543339201
27,68822.37445958484
28,68811.76152718294
29,68804.14920947955
30,68800.07234755569
31,68798.20129328276
32,68796.74245125182
33,68795.98079588781
34,68795.59457968656
35,68795.31908168584
36,68795.14329383633
37,68795.02778670687
38,68794.92028515486
39,68794.85190735987
40,68794.76601748647
41,68794.7157652418
42,68794.63285099437
43,68794.58700177241
44,68794.50769046246
45,68794.4455237419
46,68794.3423239391
47,68792.39786446214
48,68792.21005727074
49,68789.55508187653
50,68786.71787961925
