FEA Run,Global Fitness
1,69667044.22163463
2,2638138.981554516
3,616785.5039776238
4,542479.3126752846
5,533912.2203902459
6,531892.4602051303
7,531236.3199380413
8,530965.3919971305
9,530825.4588898227
10,530737.3080683739
11,530660.6276830619
12,530605.1116255409
13,530562.2248903419
14,530522.1799978351
15,530482.8460660327
16,530434.7455029419
17,530394.9995781349
18,530359.9993374506
19,530325.449455522
20,530292.2906631307
21,530249.9671716888
22,530223.9563655496
23,530205.430857694
24,530190.5211902942
25,530176.950648252
26,530164.5870513369
27,530153.1363308929
28,530139.3354894156
29,530125.7457401616
30,530114.2138916737
31,530104.9983500539
32,530096.9471209258
33,530087.7773213815
34,530076.9710265414
35,530063.5733343023
36,530052.0158571184
37,530043.3279451606
38,530037.8464231619
39,530034.8304252829
40,530033.1239245504
41,530032.1200501947
42,530031.5357970352
43,530031.1579285185
44,530030.9002269207
45,530030.6912575117
46,530030.5103688015
47,530030.3444638574
48,530030.1881632047
49,530030.035435272
50,530029.886607015
