FEA Run,Global Fitness
1,711072001.466354
2,521892370.636094
3,495029384.8291616
4,484617196.69791204
5,484538869.7878708
6,484538043.78405213
7,484538020.021159
8,484538014.0960194
9,484538012.46449983
10,484538008.5413476
11,484538008.52128756
12,484538008.48346025
13,484538008.3794099
14,484537983.50581247
15,484537982.52199125
16,484537982.51089936
17,484537982.0677088
18,484537981.52491325
19,484537981.5157559
20,484537981.5157557
21,484537981.5157556
22,484537981.5157556
23,484537981.5157556
24,484537981.51575553
25,484537981.51575553
26,484537981.51575553
27,484537981.51575553
28,484537980.5229129
29,484537980.5212587
30,484537980.47206295
31,484537980.4720617
32,484537979.5258375
33,484537978.53196645
34,484537978.5308872
35,484537977.53592306
36,484537977.5359228
37,484537977.53591925
38,484537961.61714286
39,484537961.61714286
40,484537961.61667717
41,484537961.6166755
42,484537961.6166755
43,484537961.6166755
44,484537961.6166755
45,484537961.6166755
46,484537957.6386068
47,484537957.6371877
48,484537957.63684434
49,484537957.63684434
50,484537957.63684434
