FEA Run,Global Fitness
1,604578330.8179977
2,451325394.44253826
3,443306535.0030634
4,442976844.4623386
5,442959021.7186212
6,442958768.09306383
7,442958746.0589436
8,442958743.4586454
9,442958743.2289096
10,442958742.2307456
11,442958742.2299936
12,442958742.2222852
13,442958742.22225267
14,442958742.2222499
15,442958742.2222498
16,442958742.2222498
17,442958742.2222498
18,442958742.22224975
19,442958742.22224975
20,442958742.22224975
21,442958742.22224975
22,442958742.2222497
23,442958742.2222497
24,442958742.2222497
25,442958742.2222497
26,442958742.2222497
27,442958742.2222497
28,442958742.2222497
29,442958742.2222496
30,442958742.2222496
31,442958742.2222496
32,442958742.2222496
33,442958742.2222496
34,442958742.2222496
35,442958742.2222496
36,442958742.2222496
37,442958742.2222496
38,442958742.2222496
39,442958742.2222496
40,442958742.2222496
41,442958742.2222496
42,442958742.2222496
43,442958742.2222496
44,442958742.2222496
45,442958742.2222496
46,442958742.2222496
47,442958742.2222496
48,442958742.2222496
49,442958742.2222496
50,442958742.2222496
