FEA Run,Global Fitness
1,764742411.7946368
2,510630224.90819657
3,496178806.5179951
4,496039415.35242426
5,496039038.22528136
6,496039026.88192636
7,496039021.1679044
8,496039020.8371128
9,496039020.3676427
10,496039019.19664747
11,496039017.6203067
12,496039010.58951485
13,496038990.6112639
14,496038990.605159
15,496038985.68984866
16,496038985.62987036
17,496038985.62984943
18,496038985.6298482
19,496038985.62984574
20,496038985.6298457
21,496038985.6298457
22,496038985.6298457
23,496038985.6298457
24,496038985.6298457
25,496038985.6298457
26,496038985.6298457
27,496038985.6298457
28,496038985.0392139
29,496038983.64983344
30,496038983.6401071
31,496038983.6399279
32,496038983.63992757
33,496038979.66070807
34,496038979.6602294
35,496038979.66009635
36,496038978.6652157
37,496038978.6651765
38,496038978.6651372
39,496038978.66513675
40,496038977.6734746
41,496038977.67312384
42,496038977.67017776
43,496038977.67017764
44,496038977.67017764
45,496038977.67017764
46,496038977.67017764
47,496038977.67017764
48,496038977.67017764
49,496038973.6935272
50,496038973.6906961
