FEA Run,Global Fitness
1,1699316.1280754874
2,1152531.6598137491
3,964867.8904844245
4,866806.2159969141
5,798912.5017258881
6,750214.5022543499
7,709462.7831381427
8,671531.7409953161
9,637373.8578510627
10,606801.7276051276
11,582258.4084093302
12,559679.4254107856
13,538250.25423819
14,517169.9513454118
15,498588.6687009548
16,483681.5186143761
17,468849.4530321129
18,454763.6096176163
19,442785.10591861303
20,431131.3732366335
21,419669.94131205033
22,408906.3399991866
23,399236.928045123
24,390250.9671245157
25,381982.6800736941
26,374174.92178680486
27,366692.9006247646
28,359041.12643253116
29,352805.467781229
30,345932.19927791506
31,339449.44261297554
32,333664.9407914305
33,327204.87259740784
34,321827.53281453875
35,316509.9584592604
36,311409.0002441374
37,305864.26392357826
38,301009.5162098598
39,296528.45497752813
40,292425.16097793187
41,288369.69218281226
42,284808.14782810805
43,281294.26564698934
44,277893.5981222712
45,274601.4585032819
46,271413.4532674912
47,268325.40431241784
48,265333.5539714186
49,262434.4182013186
50,259624.83364218476
