FEA Run,Global Fitness
1,122205560.90562825
2,7708385.120426066
3,3759688.2810553634
4,3514727.60872207
5,3493309.3993536904
6,3487686.4756041933
7,3486306.405257278
8,3485709.95382018
9,3485441.1132594296
10,3485288.621599748
11,3485172.961913281
12,3485096.0918309414
13,3485051.111566578
14,3485019.2877592794
15,660062.9631787931
16,614750.5982714121
17,611446.6694109963
18,610847.2882949858
19,610708.7229319136
20,610654.3027727365
21,610620.6867760023
22,610595.026565277
23,610574.2784766562
24,610552.6757390321
25,610526.7953462808
26,610503.0511626434
27,610485.0768242006
28,610473.0710703173
29,610465.5703897527
30,610460.4110433883
31,610455.9793850591
32,610450.8217695907
33,610442.8431070837
34,610432.4080090049
35,610421.4042340671
36,610410.4733952122
37,610401.4983797292
38,610392.6021032972
39,610382.8602727836
40,610371.3301877128
41,610358.5400315209
42,610347.3164171707
43,610338.5873559859
44,610332.0264366467
45,610328.216143228
46,610325.111199281
47,610322.0703499067
48,610318.6881826171
49,610313.8897538658
50,610307.0244147616
