FEA Run,Global Fitness
1,1196733686.0334814
2,952819579.6549766
3,935730219.7648712
4,935675016.698603
5,935674897.679954
6,935674884.5096359
7,935674876.2430891
8,935674873.0201411
9,935674871.1614668
10,935674870.9366319
11,935674867.0035458
12,935671755.3421823
13,935671736.0997397
14,935671735.129256
15,935671734.1113808
16,935671734.0945189
17,935671734.0933396
18,935671734.0932388
19,935671734.0932382
20,935671734.0932382
21,935671733.6598349
22,935671733.0991777
23,935671733.098279
24,935671733.098279
25,935671733.098279
26,935671733.098279
27,935671733.098279
28,935671733.098279
29,935671733.098279
30,935671733.098279
31,935671733.098279
32,935671733.098279
33,935671733.098279
34,935671733.098279
35,935671729.1370063
36,935671729.1186658
37,935671729.1184479
38,935671729.1184478
39,935671729.1184478
40,935671728.1283035
41,935671727.1285702
42,935671727.1285702
43,935671722.191206
44,935671721.1595098
45,935671721.1587943
46,935671721.1587802
47,935671721.1587802
48,935671720.1640648
49,935671720.1640228
50,935671720.1638212
