FEA Run,Global Fitness
1,1658945.6634324337
2,1238773.8219085585
3,1014642.9378193609
4,886867.326349403
5,798630.4784594503
6,734972.8654752708
7,680668.257334949
8,638324.3774025583
9,604406.5490231335
10,573707.9245745263
11,546564.4327064771
12,523834.8302116366
13,502967.2965712033
14,481078.69150842517
15,462713.7462638401
16,447660.54477868753
17,428831.80801375234
18,414477.6337164397
19,399868.183914213
20,388067.7319501777
21,376507.6970018155
22,365601.33250525565
23,354009.61002019315
24,343542.69164051977
25,334660.25357730157
26,326229.89754617226
27,318677.39798113797
28,309419.8981857587
29,300699.20469263685
30,294337.76980631554
31,288078.17710863426
32,282818.7376440144
33,277858.7653220257
34,272820.19153027283
35,268181.89121496223
36,262901.32887159364
37,259300.04530547885
38,255888.23441377457
39,252388.77601792366
40,249260.16223907168
41,244902.81847581692
42,240826.41124569284
43,238574.3898377609
44,234598.95712069853
45,232000.44549039638
46,229699.27442709645
47,226796.11368717602
48,223870.29388588865
49,220873.33465603588
50,218117.89799603383
