FEA Run,Global Fitness
1,78411264.48038602
2,614731.1316711974
3,85137.11964104106
4,17157.04392953874
5,10282.065164271076
6,8412.71713438908
7,7311.843188533964
8,6078.071005584468
9,5536.694397798051
10,5088.08259147444
11,4578.981347614738
12,4291.295197076552
13,4153.979219506976
14,3864.163505737578
15,3528.5646564640983
16,3315.451065496552
17,3214.6699069920724
18,3166.2922184236286
19,3010.100449098698
20,2936.2687186525814
21,2878.132404774825
22,2867.6330114520165
23,2852.0091448103462
24,2838.8159001928916
25,2815.136202589609
26,2797.0769467535565
27,2773.723598469502
28,2719.1402463260106
29,2638.668056517802
30,2559.268891918847
31,2551.9451004462817
32,2540.6755411951704
33,2522.645072218909
34,2520.1380882228755
35,2520.1380882228755
36,2519.097922610427
37,2516.540935579589
38,2496.9563137478885
39,2494.0476207680745
40,2490.1364934053145
41,2489.8821466768864
42,2489.6333806506464
43,2488.205828084725
44,2488.205828084725
45,2473.2693705330316
46,2473.267674886547
47,2432.400143155936
48,2432.400143155936
49,2408.893407266225
50,2397.418454985324
