FEA Run,Global Fitness
1,866324446.5299003
2,800576558.6577954
3,776157702.5570198
4,766862821.4988298
5,764225333.501285
6,762837436.6526216
7,758436822.5037388
8,757340181.6817923
9,757020792.6091249
10,756943236.5167463
11,756933944.44091
12,755783744.9899931
13,755711151.6102138
14,755704672.2524458
15,755704671.8193806
16,755609004.4187223
17,755609004.2527705
18,755609004.2315507
19,755297995.5898126
20,755297995.5539483
21,755297995.20075
22,755262697.989382
23,755224650.6353191
24,755224650.1712484
25,753763364.9342467
26,753759531.7955414
27,753759531.7257545
28,753704748.658983
29,753704748.4734403
30,753704748.3362013
31,753704748.3117486
32,753682571.5632446
33,753682571.5335464
34,753682571.5335464
35,753620766.8802664
36,753620766.8800333
37,753620766.8717484
38,753620766.8717484
39,753620766.8717484
40,753620766.816527
41,753620284.8730005
42,753620284.8730005
43,753620284.8729777
44,753550114.7701048
45,753541533.4274268
46,753541017.8710229
47,753541017.8570762
48,753541017.8569629
49,753541017.8297617
50,753541017.7505152
