FEA Run,Global Fitness
1,6.520447962601139
2,5.225836618117789
3,4.763216749202233
4,4.454952697679037
5,4.283290367780225
6,4.007374571280927
7,3.835225406860055
8,3.648300303398312
9,3.436352388360565
10,3.153149951512216
11,2.75553878751186
12,2.4763240542718603
13,2.2193918583698324
14,1.9193076357430816
15,1.676617441005281
16,1.5535395724107741
17,1.3936934679301634
18,1.240499473376023
19,1.1008516901290837
20,0.9073718382967795
21,0.7820636984573395
22,0.6485164884760484
23,0.2081429706852025
24,0.021594912128055643
25,0.0001987398818497077
26,5.8965956157397414e-05
27,5.539282064592754e-06
28,9.081934497778832e-07
29,1.3153890465744666e-07
30,6.34186467785014e-08
31,2.6571425060240017e-09
32,6.962150855827076e-10
33,4.614730819696433e-10
34,1.1252909715153692e-10
35,1.8424817227469248e-11
36,1.3280487820566123e-11
37,3.240518964275907e-12
38,1.2296830220748234e-12
39,8.317790900491673e-13
40,6.008527009271347e-13
41,5.475619957451272e-13
42,5.262457136723242e-13
43,5.013767179207207e-13
44,4.907185768843192e-13
45,4.907185768843192e-13
46,4.907185768843192e-13
47,4.907185768843192e-13
48,4.907185768843192e-13
49,4.907185768843192e-13
50,4.907185768843192e-13
